Name,Right ascension,Declination,Flux density,Error class,Galactic lat,Galactic long,4C number,(Label),(Type)
3C3,0h 8.502m,-5d 58.307m,8.2,a,-66.5,95.2,4C-06.01,3C3,H16
3C6.1,0h 16.536m,79d 14.659m,13.7,a,16.5,121.2,4C+78.01,3C6.1,H16
3C9,0h 20.425m,15d 40.642m,16.3,a,-46.5,112.1,4C+15.02,3C9,H16
3C10,0h 25.480m,64d 10.604m,14.2,a,1.4,120.1,4C+63.01,3C10,H16
3C11.1,0h 29.720m,63d 59.569m,11.6,bl,1.2,120.6,4C+63.02,3C11.1,H16
3C13,0h 34.249m,39d 23.526m,11.6,a,-23.4,119.3,4C+39.01,3C13,H16
3C14,0h 36.103m,18d 37.507m,10.4,a,-44.1,117.9,4C+18.02,3C14,H16
3C14.1*,0h 36.121m,58d 54.505m,16.1,a,-3.9,121,4C+58.02,3C14.1*,H16
3C14.1*,0h 37.396m,60d 29.491m,13.2,a,-2.3,121.2,4C+60.02,3C14.1*,H16
3C15,0h 37.055m,-1d 10.502m,15.8,b,-63.8,114.8,4C-01.03,3C15,H16
3C16,0h 37.737m,13d 19.489m,10.5,a,-49.4,117.8,4C+13.05,3C16,H16
3C17,0h 38.330m,-2d 10.516m,20,a,-64.9,115.2,4C-02.03,3C17,H16
3C18,0h 40.832m,10d 1.452m,19.8,a,-52.8,118.6,4C+09.02,3C18,H16
3C19,0h 40.920m,33d 8.450m,12.1,b,-29.7,120.4,4C+32.03,3C19,H16
3C20,0h 43.143m,52d 4.420m,38.5,a,-10.8,121.6,4C+51.02,3C20,H16
3C21.1,0h 44.679m,66d 18.400m,7.6,a,3.4,122.3,4C+66.02,3C21.1,H16
3C22,0h 50.941m,51d 13.308m,10.9,a,-11.6,122.9,4C+50.04,3C22,H16
3C27,0h 55.921m,68d 20.229m,26.4,a,5.5,123.3,4C+68.02,3C27,H16
3C28,0h 55.852m,26d 25.229m,16.3,a,-36.4,124.2,4C+26.02,3C28,H16
3C29,0h 57.568m,-1d 25.800m,15.1,a,-64.3,126.5,4C-01.05,3C29,H16
3C31,1h 7.469m,32d 24.009m,10,a,-30.3,126.9,4C+32.05,3C31,H16
3C33*,1h 8.868m,13d 19.980m,53,a,-49.3,129.4,4C+13.07,3C33*,H16
3C33.1,1h 9.703m,73d 10.968m,11.4,a,10.4,124.3,4C+72.01,3C33.1,H16
3C33.2,1h 8.554m,69d 18.990m,5.9,a,6.5,124.5,4C+69.04,3C33.2,H16
3C34,1h 10.324m,31d 46.948m,11.2,a,-30.9,127.6,4C+31.02,3C34,H16
3C35,1h 12.042m,49d 29.911m,7.3,a,-13.2,126.4,4C+49.04,3C35,H16
3C36,1h 17.988m,45d 34.775m,7.5,a,-17,127.8,4C+45.03,3C36,H16
3C40,1h 26.033m,-1d 24.428m,4.3,bl,-63,142.3,4C-01.08,3C40,H16
3C41,1h 26.747m,33d 11.554m,10.6,a,-29.1,131.4,4C+32.06,3C41,H16
3C42,1h 28.513m,29d 1.506m,11.2,a,-33.1,132.6,4C+28.04,3C42,H16
3C43,1h 30.000m,23d 37.466m,11.6,a,-38.4,134.2,4C+23.06,3C43,H16
3C44,1h 31.355m,6d 21.428m,9.2,a,-55.1,140.5,4C+06.07,3C44,H16
3C46,1h 35.476m,37d 53.312m,6.6,a,-24.2,132.4,4C+37.05,3C46,H16
3C47,1h 36.401m,20d 58.284m,26.4,a,-40.7,136.8,4C+20.07,3C47,H16
3C48*,1h 37.689m,33d 8.247m,51,a,-28.7,134,4C+32.08,3C48*,H16
3C49,1h 41.142m,13d 54.141m,9.7,a,-47.2,140.8,4C+13.10,3C49,H16
3C52,1h 48.480m,53d 33.914m,13.7,a,-8.4,131.4,4C+53.02,3C52,H16
3C54,1h 55.515m,43d 44.674m,9.6,a,-17.6,135,4C+43.06,3C54,H16
3C55,1h 57.192m,28d 49.613m,16,a,-31.9,139.9,4C+28.05,3C55,H16
3C58,2h 5.489m,64d 50.326m,7.6,a,3.1,130.7,4C+64.02,3C58,H16
3C63,2h 20.891m,-1d 57.303m,19.1,a,-57,167.1,4C-02.10,3C63,H16
3C65,2h 23.718m,40d 0.586m,15.2,a,-19.5,141.5,4C+39.07,3C65,H16
3C66,2h 23.314m,43d 1.604m,17.4,be,-16.7,140.3,4C+42.07,3C66,H16
3C67,2h 24.208m,27d 49.562m,9,a,-30.7,146.8,4C+27.08,3C67,H16
3C68.1,2h 32.518m,34d 24.202m,12.1,b,-24,145.6,4C+34.08,3C68.1,H16
3C68.2,2h 34.405m,31d 34.117m,10,a,-26.4,147.3,4C+31.08,3C68.2,H16
3C69,2h 38.038m,59d 11.967m,19.9,a,-0.9,136.2,4C+58.08,3C69,H16
3C71,2h 42.659m,0d 0.271m,16.1,a,-51.9,172.1,4C-00.13,3C71,H16
3C75,2h 57.686m,6d 11.995m,10.5,b,-44.8,170.1,4C+06.15,3C75,H16
3C76.1,3h 3.251m,16d 25.712m,8.2,a,-36,163.1,4C+16.06,3C76.1,H16
3C78,3h 8.415m,4d 5.438m,18.4,a,-44.5,174.9,4C+03.05,3C78,H16
3C79,3h 10.005m,17d 5.357m,24.8,a,-34.5,164.2,4C+16.07,3C79,H16
3C83.1*,3h 18.215m,41d 53.923m,14.8,b,-13.1,150.1,4C+41.06,3C83.1*,H16
3C84,3h 19.785m,41d 29.836m,40.5,a,-13.3,150.6,4C+41.07,3C84,H16
3C86,3h 27.315m,55d 19.427m,22.6,a,-1.1,143.9,4C+55.06,3C86,H16
3C88,3h 27.894m,2d 32.363m,8,a,-42,181,4C+02.10,3C88,H16
3C89,3h 34.227m,-1d 13.004m,20.2,a,-43.2,186.3,4C-01.12,3C89,H16
3C91,3h 37.717m,50d 46.820m,12.6,a,-3.9,147.8,4C+50.10,3C91,H16
3C93,3h 43.480m,4d 57.450m,14.4,a,-37.5,181.9,4C+04.13,3C93,H16
3C93.1,3h 48.793m,33d 55.143m,9.9,b,-15.9,160,4C+33.08,3C93.1,H16
3C98,3h 58.920m,10d 25.504m,35.5,a,-31.1,179.8,4C+10.12,3C98,H16
3C99,4h 1.111m,0d 35.362m,8.8,a,-36.7,189.6,4C+00.14,3C99,H16
3C103,4h 8.061m,42d 59.946m,26,a,-6.6,156.8,4C+42.11,3C103,H16
3C105,4h 7.378m,3d 39.965m,9.9,a,-33.6,187.6,4C+03.08,3C105,H16
3C107,4h 12.353m,0d 56.358m,9.9,a,-35.2,193.1,4C-01.13,3C107,H16
3C109,4h 13.674m,11d 12.563m,20.4,a,-27.8,181.8,4C+11.18,3C109,H16
3C111,4h 18.371m,38d 0.274m,35.2,a,-8.8,161.7,4C+37.12,3C111,H16
3C114,4h 20.369m,17d 53.128m,7.5,a,-22.2,177.3,4C+17.24,3C114,H16
3C119,4h 32.603m,41d 38.331m,16.4,a,-4.3,161,4C+41.13,3C119,H16
3C123*,4h 37.070m,29d 40.018m,189,a,-11.7,170.6,4C+29.14,3C123*,H16
3C124,4h 41.962m,1d 21.667m,9.2,a,-27.7,195.5,4C+01.11,3C124,H16
3C125,4h 46.285m,39d 45.397m,14.1,a,-3.7,164.1,4C+39.15,3C125,H16
3C129,4h 49.032m,45d 1.213m,6.7,a,0.1,160.4,4C+44.12,3C129,H16
3C129.1*,4h 50.817m,45d 2.089m,2.7,b,0.4,160.6,4C+44.13,3C129.1*,H16
3C130,4h 52.813m,52d 4.961m,6.1,a,5.1,155.4,4C+52.10,3C130,H16
3C131,4h 53.402m,31d 28.896m,14.8,a*,-7.8,171.4,4C+31.18,3C131,H16
