;
;   Objects with multiple names
;
; Name,Also known as
;
;	Big catalogue names for Messier objects
;
NGC205,M110
NGC221,M32
NGC224,M31
NGC581,M103
NGC598,M33
NGC628,M74
NGC650,M76
NGC1039,M34
NGC1068,M77
NGC1904,M79
NGC1912,M38
NGC1952,M1
NGC1960,M36
NGC1976,M42
NGC1982,M43
NGC2068,M78
NGC2099,M37
NGC2168,M35
NGC2287,M41
NGC2323,M50
NGC2422,M47
NGC2437,M46
NGC2447,M93
NGC2548,M48
NGC2632,M44
NGC2682,M67
NGC3031,M81
NGC3034,M82
NGC3351,M95
NGC3368,M96
NGC3379,M105
NGC3556,M108
NGC3587,M97
NGC3623,M65
NGC3627,M66
NGC3992,M109
NGC4192,M98
NGC4254,M99
NGC4258,M106
NGC4303,M61
NGC4321,M100
NGC4374,M84
NGC4382,M85
NGC4406,M86
NGC4472,M49
NGC4486,M87
NGC4501,M88
NGC4548,M91
NGC4552,M89
NGC4569,M90
NGC4579,M58
NGC4590,M68
NGC4594,M104
NGC4621,M59
NGC4649,M60
NGC4736,M94
NGC4826,M64
NGC5024,M53
NGC5055,M63
NGC5194,M51
NGC5236,M83
NGC5272,M3
NGC5457,M101
NGC5457,M102
NGC5904,M5
NGC6093,M80
NGC6121,M4
NGC6171,M107
NGC6205,M13
NGC6218,M12
NGC6254,M10
NGC6266,M62
NGC6273,M19
NGC6333,M9
NGC6341,M92
NGC6402,M14
NGC6405,M6
NGC6475,M7
NGC6494,M23
NGC6514,M20
NGC6523,M8
NGC6531,M21
NGC6603,M24
NGC6611,M16
NGC6613,M18
NGC6618,M17
NGC6626,M28
NGC6637,M69
NGC6656,M22
NGC6681,M70
NGC6694,M26
NGC6705,M11
NGC6715,M54
NGC6720,M57
NGC6779,M56
NGC6809,M55
NGC6838,M71
NGC6853,M27
NGC6864,M75
NGC6913,M29
NGC6981,M72
NGC6994,M73
NGC7078,M15
NGC7089,M2
NGC7092,M39
NGC7099,M30
NGC7654,M52
IC4725,M25
WNC4,M40
;
;	Asteroid numbers
;
951,Gaspra

