Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
A'HEARN 3192,13.7,0.15,298.96415,90.34199,57.03962,2.880172,0.1695027,2.37673,48800
AALTJE 677,9.7,0.15,86.247871,272.48938,273.45792,8.487285,0.0453071,2.9558022,48800
AARHUS 2676,12.8,0.15,278.3553,45.691496,289.87951,4.550217,0.1261356,2.403176,48800
AARONSON 3277,11.3,0.15,261.0046,296.61151,85.162285,8.575362,0.2735004,3.137098,48800
AARYN 2366,13.8,0.15,203.51232,109.99962,308.75481,1.084657,0.1277254,2.2403049,48800
AASE 864,12.87,0.15,205.08483,193.63541,163.34105,5.444359,0.1902839,2.2087803,48800
AAVASAKSA 2678,12.4,0.15,54.943246,45.750513,54.218644,3.448413,0.086405,2.2603066,48800
ABALAKIN 2722,12.1,0.15,270.60296,112.11129,133.68499,1.669327,0.1569092,3.1944222,48800
ABANDERADA 1581,10.85,0.15,219.6872,94.805021,104.98687,2.536187,0.1190777,3.1594633,48800
ABANTE 3480,13.1,0.15,35.229677,20.266075,188.69542,3.759166,0.2838403,3.0382035,48800
ABASTUMANI 1390,9.4,0.15,309.19951,1.574275,29.529129,19.978616,0.0252149,3.4369201,48800
ABBE 5224,14.3,0.15,156.24174,83.46518,359.65962,7.93987,0.0090768,2.2454764,49000
ABELL 3449,12.4,0.15,195.90843,335.52462,81.569187,2.047944,0.1631386,3.0736314,48800
ABETTI 2646,11.6,0.15,118.16848,40.053976,352.80888,9.680268,0.0907944,3.0186165,48800
ABKHAZIA 2671,13.4,0.15,157.01141,156.23221,228.57788,1.465908,0.1190968,2.6102567,48800
ABNOBA 456,9.2,0.15,300.35677,5.056673,229.59354,14.397173,0.1783637,2.7902564,48800
ABUNDANTIA 151,9.24,0.15,218.27308,135.98497,39.165998,6.455974,0.0343461,2.5918554,48800
ACADEMIA 829,10.7,0.15,61.306395,40.261422,352.90103,8.314201,0.098337,2.5798069,48800
ACHAIA 1150,13.2,0.15,133.62299,138.70928,206.90239,2.382714,0.2044202,2.1910046,48800
ACHILLES 588,8.67,0.15,141.97872,132.20849,316.59942,10.335704,0.1480896,5.1791907,48800
