Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
1051 T-2 5531,13.1,0.15,33.42344,306.39924,179.5316,13.14474,0.0954769,2.7261081,49200
1175T-3 4043,12.3,0.15,290.65328,17.357688,303.89994,6.565008,0.0870693,3.1180077,48800
1232 T-1 5408,13.8,0.15,145.73468,341.10556,207.46703,4.07347,0.1386468,2.2612369,49000
1246 T-2 5243,12.8,0.15,148.39288,61.35954,194.75325,7.47155,0.1772144,2.7768715,49000
1617 T-2 5493,13.3,0.15,288.03729,233.78432,356.35919,3.85651,0.1422673,2.3601198,49200
1925 BA 4808,11.6,0.15,242.23156,138.69325,302.54804,10.80226,0.1632629,2.6674052,49000
1925VF 3881,12.8,0.15,132.55533,39.11147,37.635629,3.620093,0.1531776,2.4473169,48800
1926GC 2500,12.8,0.15,255.16974,160.25296,48.216778,6.991691,0.0990892,2.240142,48800
1927 TC 4775,13.7,0.15,228.28551,7.10493,336.83356,9.25709,0.4478088,2.4006839,49000
1928 RB 4809,13.3,0.15,229.9389,172.96345,169.45649,13.69392,0.2501439,2.5682242,49000
1928NA 3300,10.4,0.15,110.55351,265.23331,27.482052,18.790231,0.2099997,3.1559693,48800
1929PC 2373,12.5,0.15,132.42003,214.1407,146.84922,10.101183,0.1711446,2.7973539,48800
1930VD 3567,12.5,0.15,88.255893,137.48302,271.75634,6.799737,0.3104088,2.7903591,48800
1931 TS1 5072,12.1,0.15,127.92392,359.97655,11.54736,2.03181,0.0839155,2.9103625,49000
1931 TU1 4647,12.8,0.15,200.80181,126.31557,181.5918,6.89136,0.2576571,2.8942012,49000
1931 UD 5152,12.3,0.15,152.80884,38.05613,339.19548,12.92647,0.1781083,2.6269627,49000
1931 UE 4648,13.1,0.15,152.37177,122.34393,319.92448,9.78241,0.1878501,2.3936354,49000
1931EE 4588,12.1,0.15,95.792538,123.10961,334.15411,9.758523,0.0996543,2.9448493,48800
1931GC 4417,11.5,0.15,101.45646,223.77471,356.69414,9.035425,0.1036107,2.7595742,48800
1931RN 2896,12.7,0.15,184.66566,120.70768,171.9096,5.991073,0.187896,2.2197151,48800
1931TB2 2855,13,0.15,236.29062,98.497769,339.73195,8.143053,0.1666838,2.454985,48800
1931TC1 3555,12.6,0.15,171.29126,308.98548,26.901399,9.459616,0.2356483,2.7372439,48800
1931TR1 4418,12.5,0.15,306.001,83.135549,204.09593,12.630808,0.1556399,2.5813096,48800
