;
;	Constellation names and location to draw them
;
;	RA * 1000, Dec * 100, Constellation_name
;
564,3925,Andromeda
10118,-3365,Antlia
16134,-7641,Apus
22697,-1053,Aquarius
19690,337,Aquila
17231,-5189,Ara
2676,2257,Aries
5947,4281,Auriga
14687,3233,Boötes
4721,-3883,Caelum
6151,7196,Camelopardalis
8497,2356,Cancer
13020,4235,Canes_Venatici
6830,-2269,Canis_Major
7624,676,Canis_Minor
21048,-1965,Capricornus
7761,-5717,Carina
870,6030,Cassiopeia
12950,-4400,Centaurus
22417,7256,Cepheus
1709,-664,Cetus
12000,-8199,Chamaeleon
14527,-6770,Circinus
5705,-3708,Columba
12748,2265,Coma_Berenices
18655,-4125,Corona_Australis
15880,3263,Corona_Borealis
12387,-1836,Corvus
11348,-1325,Crater
12481,-6070,Crux
20598,4958,Cygnus
20663,1210,Delphinus
5333,-6399,Dorado
17945,6606,Draco
21251,794,Equuleus
3876,-1701,Eridanus
2766,-2694,Fornax
6848,2482,Gemini
22457,-4586,Grus
17425,3123,Hercules
3212,-5200,Horologium
9136,-1132,Hydra
2589,-7208,Hydrus
21138,-5268,Indus
22514,4667,Lacerta
10000,700,Leo
10316,3324,Leo_Minor
5436,-1935,Lepus
15187,-1545,Libra
15376,-4228,Lupus
7734,4783,Lynx
18908,4065,Lyra
5500,-7999,Mensa
20942,-3620,Microscopium
6962,-374,Monoceros
12460,-6987,Musca
16042,-5229,Norma
22173,-8473,Octans
17037,-265,Ophiuchus
5566,359,Orion
19160,-6514,Pavo
22617,1965,Pegasus
3514,4489,Perseus
732,-4823,Phoenix
5381,-5163,Pictor
891,1548,Pisces
22410,-3143,Piscis_Austrinus
7873,-3239,Puppis
8891,-2921,Pyxis
3899,-6049,Reticulum
19667,1700,Sagitta
19385,-2911,Sagittarius
16865,-3567,Scorpius
1000,-3849,Sculptor
18651,-1011,Scutum
15731,1085,Serpens_Caput
17958,-1352,Serpens_Cauda
10102,-187,Sextans
4095,1734,Taurus
19244,-5154,Telescopium
2043,3234,Triangulum
16124,-6590,Triangulum_Australe
23828,-6406,Tucana
10263,5748,Ursa_Major
14974,7504,Ursa_Minor
9337,-4851,Vela
13343,-349,Virgo
7659,-6939,Volans
20367,2503,Vulpecula
