;
;	Deep sky object database
;
76.725,-7.21667,0.3,IC2118,,DN,180x60,Eri,,spec:cB8ep-illum by Rigel
56.75,24.11667,1.2,M45,M45,OC,110,Tau,*,nmber: 130 - The Pleiades
247.3,-26.45,1.2,IC4606,,DN,85x80,Sco,,spec:cM1 - around Antares
84.05,-1.2,1.8,NGC1990,,DN,50x50,Ori,*,spec:BOe - around Eps Ori
85.175,-2.45,1.9,NGC2024,,DN,30x30,Ori,!,s:BOne-cmplx inner detail
85.25,-2.4,2.1,IC434,,DN,60x10,Ori,!!,"s:BOne-B33, Horsehead Neb"
306.975,40,2.3,IC1318,,DN,45x25,Cyg,,spectrum: cF8p
14.175,61.06667,2.5,IC59,,DN,10x5,Cas,,spectrum: B0ne
116.35,-37.9667,2.8,NGC2451,,OC,45,Pup,,number: 40
83.85,-5.45,2.9,NGC1976,M42,DN,66x60,Ori,!!!,Great Orion Nebula
166.6,-58.6667,3,NGC3532,,OC,55,Car,!,number: 150 - fine object
130.025,19.98333,3.1,NGC2632,M44,OC,95,Cnc,!!,Praesepe - Beehive Clustr
268.475,-34.8167,3.3,NGC6475,M7,OC,80,Sco,!!,nmbr:80-fine naked-eye OC
324.775,57.5,3.5,IC1396,,OC,50,Cep,,number: 50
201.7,-47.4833,3.7,NGC5139,,GC,23,Cen,!!!,VIII - Omega Centauri
119.575,-60.8667,3.8,NGC2516,,OC,30,Car,*,number: 80
100.275,9.883333,3.9,NGC2264,,OC,20,Mon,*,Xmas Tree near Cone Neb.
60.175,36.61667,4.1,NGC1499,,DN,145x40,Per,*,sp: O7n - California Neb.
109.7,-24.95,4.1,NGC2362,,OC,8,CMa,*,nmbr: 60 - striking clstr
265.025,-32.2167,4.2,NGC6405,M6,OC,15,Sco,!!,n: 80 - Butterfly Cluster
56.575,23.93333,4.3,IC349,,DN,30x30,Tau,,spec:B5ne - around Merope
34.75,57.15,4.4,NGC869,,OC,30,Per,!!,n:200-half Double Cluster
6.025,-72.0833,4.5,NGC104,,GC,23,Tuc,!!!,III (47 Tuc)- splendid GC
114.15,-14.5,4.5,NGC2422,M47,OC,30,Pup,*,number: 30
279.75,5.45,4.5,IC4756,,OC,70,Ser,*,number: 80
83.875,-4.86667,4.6,NGC1977,,DN,40x25,Ori,!,
101.75,-20.7333,4.6,NGC2287,M41,OC,38,CMa,*,number: 80
271.2,-24.3333,4.6,NGC6530,,OC,10,Sgr,*,nmbr: 25 - in M8 (Lagoon)
274.225,-18.4833,4.6,NGC6603,M24,OC,4,Sgr,*,number: 50 - star cloud
276.925,6.566667,4.6,NGC6633,,OC,20,Oph,*,number: 30
323.05,48.43333,4.6,NGC7092,M39,OC,32,Cyg,*,number: 30
246.4,-23.4333,4.6,IC4604,,DN,140x70,Oph,,spec: B5n -around Rho Oph
277.9,-19.25,4.6,IC4725,M25,OC,32,Sgr,*,number: 30 - open cloud
35.6,57.11667,4.7,NGC884,,OC,30,Per,!!,n:150-half Double Cluster
100.225,9.9,4.7,NGC2264,,DN,60x30,Mon,*,spectrum: O7n-Cone Nebula
122.675,-49.2667,4.7,NGC2547,,OC,20,Vel,,number: 80
10.675,41.26667,4.8,NGC224,M31,SG,160x40,And,!!!,Sb - Andromeda Galaxy
98.1,4.866667,4.8,NGC2244,,OC,24,Mon,*,number: 16 - in Rosette
84.625,-7.08333,4.9,IC430,,DN,11x11,Ori,,spectrum: A3
247.55,-25.1,4.9,IC4605,,DN,30,Sco,,spec:B3n - around 22 Sco
160.95,-59.8667,5,NGC3372,,DN,85x80,Car,!,Eta Car & Keyhole Nebula
279.1,-23.9,5.1,NGC6656,M22,GC,17.3,Sgr,!!,VII - one of finest GCs
92.225,24.33333,5.3,NGC2168,M35,OC,28,Gem,*,number: 200
102.325,41.06667,5.4,NGC2281,,OC,15,Aur,,number: 30
256.2,-37.9,5.4,NGC6281,,OC,8,Sco,,number: 25 - triangular
83.825,-5.38333,5.4,GC6931,,DS,"19""      ",Ori,*,7+v+7+5+7+7 - Trapezium
40.5,42.78333,5.5,NGC1039,M34,OC,35,Per,*,number: 60
263.7,-32.5667,5.5,NGC6383,,OC,5,Sco,,number: 40
269.2,-19.0167,5.5,NGC6494,M23,OC,27,Sgr,*,number: 150
88.1,32.55,5.6,NGC2099,M37,OC,24,Aur,!,number: 150
301.475,35.78333,5.6,NGC6871,,OC,20,Cyg,,number: 15
324.775,57.5,5.6,IC1396,,DN,165x135,Cep,,spectrum: O6n
29.45,37.68333,5.7,NGC752,,OC,45,And,*,number: 60 - large area
61.925,62.33333,5.7,NGC1502,,OC,8,Cam,,number: 45
118.075,-38.55,5.7,NGC2477,,OC,27,Pup,!,number: 300 - globular?
265.175,-53.6667,5.7,NGC6397,,GC,19,Ara,*,IX - possibly nearest GC
102.95,0.466667,5.8,NGC2301,,OC,12,Mon,,number: 80
123.45,-5.8,5.8,NGC2548,M48,OC,54,Hya,*,number: 80
229.65,2.083333,5.8,NGC5904,M5,GC,17,Ser,!!,V - superb cluster
282.775,-6.26667,5.8,NGC6705,M11,OC,14,Sct,!,n:200 - Wild Duck Cluster
92.1,13.95,5.9,NGC2169,,OC,7,Ori,,number: 30
105.8,-8.33333,5.9,NGC2323,M50,OC,10.0x5.5,Mon,*,number: 80
245.9,-26.5333,5.9,NGC6121,M4,GC,26,Sco,*,IX
250.425,36.46667,5.9,NGC6205,M13,GC,10,Her,!!,V - Hercules Cluster
271.15,-22.5,5.9,NGC6531,M21,OC,13,Sgr,*,number: 70 - M20 in field
75.9,23.81667,6,NGC1746,,OC,45,Tau,,number: 20
84.025,34.13333,6,NGC1960,M36,OC,12,Aur,*,number: 60
253.5,-41.8,6,NGC6231,,OC,15,Sco,!,number: 100+
314.7,44.33333,6,NGC7000,,DN,120x100,Cyg,*,spec: cA2e- North America
79.05,34.26667,6,IC405,,DN,18x30,Aur,*,s:O9p - Flaming Star Neb.
38.35,61.43333,6,IC1805,,DN,50x44,Cas,,spectrum: B0
115.45,-14.8167,6.1,NGC2437,M46,OC,27,Pup,!,n:100 - NGC 2438 in field
63.85,51.23333,6.2,NGC1528,,OC,25,Per,*,number: 40
65.225,50.25,6.2,NGC1545,,OC,18,Per,,number: 20
116.15,-23.8667,6.2,NGC2447,M93,OC,22,Pup,*,number: 80
23.475,30.65,6.3,NGC598,M33,SG,60x35,Tri,!!,Sc - Pinwheel Galaxy
71.5,19.06667,6.3,NGC1647,,OC,45,Tau,*,number: 200
138,-64.8667,6.3,NGC2808,,GC,7,Car,!,I
308.65,28.3,6.3,NGC6940,,OC,31,Vul,*,number: 60
19.775,58.33333,6.4,NGC457,,OC,13,Cas,*,number: 80
82.175,35.83333,6.4,NGC1912,M38,OC,21,Aur,*,number: 100
205.55,28.38333,6.4,NGC5272,M3,GC,16,CVn,!!!,VI - superb object
