;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
;
M45,M 45,Taurus,Open cluster,3h 47m,24° 7',1.2,110,*,number: 130 - The Pleiades
NGC40,,Cepheus,Planetary nebula,0h 13m,72° 32',10.2,60x40,,central star mag: 11.4
NGC55,,Sculptor,Spiral galaxy,0h 14.9m,-39° 11',7.8,25x3,!,SBp or Ir
NGC104,,Tucana,Globular cluster,0h 24.1m,-72° 5',4.5,23,!!!,III (47 Tuc)- splendid GC
NGC129,,Cassiopeia,Open cluster,0h 29.9m,60° 14',6.5,21,,number: 35
NGC133,,Cassiopeia,Open cluster,0h 31.2m,63° 22',9.1,7,,number: 5
NGC134,,Sculptor,Spiral galaxy,0h 30.4m,-33° 15',10.1,5x1,,S(B)b - edge-on
NGC157,,Cetus,Spiral galaxy,0h 34.8m,-8° 24',10.4,2.8x2.1,*,Sc
NGC185,,Cassiopeia,Elliptical galaxy,0h 39m,48° 20',11.7,3.5x2.8,*,E0 - companion to M31
NGC188,,Cepheus,Open cluster,0h 44.4m,85° 20',8.1,15,*,nmbr:120 - oldest cluster
NGC205,M110,Andromeda,Elliptical galaxy,0h 40.4m,41° 41',9.4,8.0x3.0,,E6 - companion of M31
NGC221,M 32,Andromeda,Elliptical galaxy,0h 42.7m,40° 52',8.7,3.6x3.1,*,E0 - companion of M31
NGC224,M 31,Andromeda,Spiral galaxy,0h 42.7m,41° 16',4.8,160x40,!!!,Sb - Andromeda Galaxy
NGC225,,Cassiopeia,Open cluster,0h 43.4m,61° 47',7,12,,number: 15 - W-shape group
NGC246,,Cetus,Planetary nebula,0h 47m,-11° 53',8.5,240x210,*,central star mag: 11.3
NGC247,,Cetus,Spiral galaxy,0h 47.1m,-20° 46',8.9,18.2x4.5,*,S
NGC253,,Sculptor,Spiral galaxy,0h 47.6m,-25° 17',7.1,22x6,!!,Scp - Sculptor Galaxy
NGC278,,Cassiopeia,Elliptical galaxy,0h 52.1m,47° 33',10.9,1.3x1.3,*,E0p - very compact spiral
NGC281,,Cassiopeia,Diffuse nebula,0h 52.8m,56° 36',7.8,23x27,*,spectrum: O5e
NGC288,,Sculptor,Globular cluster,0h 52.8m,-26° 35',8.1,10,,X - loose structure
NGC300,,Sculptor,Spiral galaxy,0h 54.9m,-37° 41',8.7,20x10,*,"S - S-shape, loose struct"
NGC404,,Andromeda,Elliptical galaxy,1h 9.4m,35° 43',10.7,1.3x1.3,,E0
NGC457,,Cassiopeia,Open cluster,1h 19.1m,58° 20',6.4,13,*,number: 80
NGC488,,Pisces,Spiral galaxy,1h 21.8m,5° 15',10.3,3.5x3.0,*,Sb - delicate spiral
NGC524,,Pisces,Elliptical galaxy,1h 24.8m,9° 32',10.6,1.8x1.7,,E1
NGC581,M103,Cassiopeia,Open cluster,1h 33.2m,60° 42',7.4,5,*,nmbr: 25 -arrowhead shape
NGC584,,Cetus,Elliptical galaxy,1h 31.3m,-6° 52',10.8,1.6x1.0,,E4
NGC596,,Cetus,Elliptical galaxy,1h 32.9m,-7° 2',11.5,1.5x1.2,,E2
NGC598,M 33,Triangulum,Spiral galaxy,1h 33.9m,30° 39',6.3,60x35,!!,Sc - Pinwheel Galaxy
NGC613,,Sculptor,Spiral galaxy,1h 34.3m,-29° 25',10,4x2,,SBc - fine many-armed SG
NGC628,M 74,Pisces,Spiral galaxy,1h 36.7m,15° 47',9.2,9.0x9.0,*,Sc - fine face-on spiral
NGC650,M 76,Perseus,Planetary nebula,1h 42.4m,51° 34',12.2,140x70,*,cnt str:17-Little Dumbell
NGC654,,Cassiopeia,Open cluster,1h 44.1m,61° 53',6.5,5,,nmbr:50 -NGC 663 in field
NGC659,,Cassiopeia,Open cluster,1h 44.2m,60° 42',7.9,5,,nmbr:40 -NGC 663 in field
NGC663,,Cassiopeia,Open cluster,1h 46m,61° 15',7.1,16,*,number: 80
NGC672,,Triangulum,Spiral galaxy,1h 47.9m,27° 26',10.8,4.5x1.7,,SBc - coarse spiral
NGC720,,Cetus,Elliptical galaxy,1h 53m,-13° 44',10.2,1.6x1.1,,E3
NGC752,,Andromeda,Open cluster,1h 57.8m,37° 41',5.7,45,*,number: 60 - large area
NGC772,,Aries,Spiral galaxy,1h 59.3m,19° 1',10.9,5x3,,Sb - strong arm NW side
NGC779,,Cetus,Spiral galaxy,1h 59.7m,-5° 58',11.3,3.7x0.9,,Sb - edge-on
NGC821,,Aries,Elliptical galaxy,2h 8.4m,11° 0',10.8,1.2x0.9,,E2
NGC869,,Perseus,Open cluster,2h 19m,57° 9',4.4,30,!!,n:200-half Double Cluster
NGC884,,Perseus,Open cluster,2h 22.4m,57° 7',4.7,30,!!,n:150-half Double Cluster
NGC891,,Andromeda,Spiral galaxy,2h 22.6m,42° 21',10,12x1,*,Sb - edge-on
NGC925,,Triangulum,Spiral galaxy,2h 27.3m,33° 35',10.6,9.4x4.0,,S(B)c - coarse spiral
NGC936,,Cetus,Spiral galaxy,2h 27.6m,-1° 9',10.7,3.3x2.5,,SBa - thick central bar
NGC1022,,Cetus,Spiral galaxy,2h 38.5m,-6° 40',11.4,1.8x1.4,,Sb - compact spiral
NGC1023,,Perseus,Elliptical galaxy,2h 40.4m,39° 4',9.5,4.0x1.2,,E7p - lens shape
NGC1039,M 34,Perseus,Open cluster,2h 42m,42° 47',5.5,35,*,number: 60
NGC1052,,Cetus,Elliptical galaxy,2h 41.1m,-8° 15',11.2,1.3x1.0,,E2
NGC1068,M 77,Cetus,Spiral galaxy,2h 42.7m,0° 1',8.9,6x5,*,Sbp - Seyfert glx.(3C 71)
NGC1084,,Eridanus,Spiral galaxy,2h 46m,-7° 35',10.6,2.1x1.1,,Sc
NGC1087,,Cetus,Spiral galaxy,2h 46.4m,0° 30',11,2.3x1.3,,"Sc - course, compact arms"
NGC1097,,Fornax,Spiral galaxy,2h 46.3m,-30° 17',9.3,9.0x5.5,*,S(B)b
NGC1232,,Eridanus,Spiral galaxy,3h 9.8m,-20° 35',9.9,7.0x5.5,,Sc - fine many-arm spiral
