Luyten Plate,Red Plate,Blue Plate,Right ascension,Declination,Nominal ctr (1855),"Galactic Long, Lat",MicroSky[tm],SAO stars,Exposure date,Exposure (min),Seeing (1-5),Hour angle,Notes
1,E-570,O-570,12h 1.306m,89° 43.298m,+90 19h 30m,"123, 27.4",µ1 Field 1,523,1952-Aug-22 R: 21:32 B: 21:12,R: 50 B: 10,R: 3  B: 2-3,R: 00h08m W B: 00h13m E,
2,E-567,O-567,12h 1.233m,89° 43.295m,+90 22h 30m,"123, 27.4",µ1 Field 2,539,1952-Aug-21 R: 00:32 B: 01:30,R: 50 B: 10,R: 2  B: 2-3,R: 00h16m W B: 01h14m E,
3,E-568,O-568,0h 9.373m,84° 48.350m,+84 0h 00m,"121.91, 22.02",µ2 Field 3,591,1952-Aug-21 R: 01:57 B: 03:02,R: 50 B: 10,R: 2  B: 2,R: 00h05m W B: 01h10m W,
4,E-1277,O-1277,3h 1.063m,84° 34.418m,+84 2h 30m,"126.08, 22.51",µ2 Field 4,545,1954-Nov-22 R: 23:22 B: 23:01,R: 45 B: 12,R: 2-3  B: 3,R: 00h51m W B: 00h29m W,
5,E-1328,O-1328,5h 37.554m,84° 6.177m,+84 5h 00m,"129.11, 25.13",µ2 Field 5,532,1955-Jan-28 R: 22:09 B: 23:00,R: 45 B: 12,R: 2  B: 2,R: 01h28m W B: 02h19m W,
6,E-692,O-692,8h 3.662m,83° 36.141m,+84 7h 30m,"129.89, 28.94",µ3 Field 6,546,1953-Mar-08 R: 21:15 B: 20:57,R: 45 B: 10,R: 3  B: 3,R: 00h41m W B: 00h22m W,
7,E-727,O-727,10h 18.972m,83° 15.970m,+84 10h 00m,"127.85, 32.34",µ3 Field 7,574,1953-Apr-15 R: 21:20 B: 21:03,R: 45 B: 10,R: 1-2  B: 2,R: 00h55m W B: 00h38m W,
8,E-1340,O-1340,12h 34.474m,83° 11.867m,+84 12h 30m,"123.54, 33.91",µ4 Field 8,530,1955-Feb-28 R: 03:32 B: 04:28,R: 50 B: 12,R: 2-3  B: 2,R: 01h45m W B: 02h41m W,
9,E-1363,O-1363,14h 48.028m,83° 24.758m,+84 15h 00m,"119.12, 32.83",µ4 Field 9,546,1955-Mar-23 R: 03:12 B: 02:54,R: 50 B: 12,R: 2  B: 2,R: 00h37m W B: 00h19m W,
10,E-775,O-775,17h 8.306m,83° 51.102m,+84 17h 30m,"116.56, 29.66",µ4 Field 10,577,1953-Aug-10 R: 20:14 B: 21:06,R: 45 B: 12,R: 2  B: 1-2,R: 00h28m W B: 01h20m W,
11,E-802,O-802,19h 37.048m,84° 21.194m,+84 20h 00m,"116.78, 25.88",µ5 Field 11,610,1953-Sep-02 R: 20:50 B: 21:42,R: 45 B: 12,R: 2  B: 2,R: 00h08m W B: 01h00m W,
12,E-1216,O-1216,22h 22.967m,84° 44.255m,+84 22h 30m,"119.49, 22.89",µ5 Field 12,731,1954-Sep-22 R: 21:43 B: 22:39,R: 50 B: 13,R: 2  B: 1-3,R: 00h22m E B: 00h35m W,
13,E-1213,O-1213,0h 7.648m,78° 48.438m,+78 0h 00m,"120.73, 16.12",µ2 Field 13,434,1954-Sep-21 R: 23:29 B: 23:10,R: 50 B: 13,R: 2  B: 2,R: 00h20m E B: 00h39m E,
14,E-1214,O-1214,1h 46.024m,78° 43.985m,+78 1h 32m,"125.68, 16.15",µ2 Field 14,310,1954-Sep-21 R: 00:46 B: 00:26,R: 50 B: 13,R: 4  B: 2,R: 00h41m E B: 00h59m E,
15,E-1226,O-1226,3h 23.233m,78° 32.504m,+78 3h 04m,"130.31, 17.91",µ2 Field 15,367,1954-Sep-26 R: 02:32 B: 03:28,R: 50 B: 13,R: 2  B: 2,R: 00h09m E B: 00h47m W,
16,E-1322,O-1322,4h 58.403m,78° 13.782m,+78 4h 36m,"134.04, 21.13",µ2 Field 16,446,1955-Jan-14 R: 21:35 B: 22:28,R: 45 B: 12,R: 2  B: 2,R: 00h32m W B: 01h24m W
17,E-1256,O-1256,6h 30.717m,77° 55.113m,+78 6h 08m,"136.27, 25.41",µ3 Field 17,471,1954-Oct-06 R: 03:34 B: 03:14,R: 45 B: 13,R: 1-2  B: 2,R: 01h35m E B: 01h55m E
18,E-1295,O-1295,8h 0.612m,77° 37.566m,+78 7h 40m,"136.62, 30.14",µ3 Field 18,464,1954-Nov-26 R: 01:51 B: 02:42,R: 45 B: 12,R: 2-3  B: 2-3,R: 01h27m E B: 00h36m E
19,E-693,O-693,9h 28.799m,77° 22.182m,+78 9h 12m,"134.79, 34.63",µ3 Field 19,426,1953-Mar-08 R: 22:31 B: 22:14,R: 45 B: 10,R: 3  B: 3,R: 00h26m W B: 00h09m W
20,E-1326,O-1326,10h 55.743m,77° 13.763m,+78 10h 44m,"130.74, 38.09",µ3 Field 20,302,1955-Jan-25 R: 02:49 B: 03:40,R: 45 B: 12,R: 2  B: 1-2,R: 00h30m W B: 01h21m W
21,E-1339,O-1339,12h 21.960m,77° 11.789m,+78 12h 16m,"125.05, 39.81",µ4 Field 21,272,1955-Feb-28 R: 02:17 B: 03:13,R: 50 B: 12,R: 3  B: 3,R: 00h43m W B: 01h39m W
22,E-1374,O-1374,13h 48.853m,77° 16.779m,+78 13h 48m,"118.88, 39.39",µ4 Field 22,268,1955-Mar-30 R: 02:09 B: 01:51,R: 50 B: 12,R: 2  B: 2,R: 01h05m W B: 00h47m W
23,E-768,O-768,15h 16.287m,77° 28.928m,+78 15h 20m,"113.71, 36.93",µ4 Field 23,282,1953-Jul-10 R: 20:58 B: 21:53,R: 45 B: 12,R: 3-4  B: 3,R: 01h08m W B: 02h04m W
24,E-1433,O-1433,16h 45.379m,77° 44.738m,+78 16h 52m,"110.48, 32.98",µ4 Field 24,319,1955-May-19 R: 01:01 B: 00:43,R: 50 B: 12,R: 2-3  B: 3,R: 00h16m W B: 00h07m E
25,E-776,O-776,18h 16.494m,78° 4.748m,+78 18h 24m,"109.52, 28.3",µ5 Field 25,380,1953-Aug-10 R: 21:26 B: 22:13,R: 45 B: 12,R: 2  B: 2,R: 00h37m W B: 01h29m W
26,E-832,O-832,19h 49.594m,78° 22.971m,+78 19h 56m,"110.64, 23.68",µ5 Field 26,446,1953-Sep-30 R: 18:52 B: 19:44,R: 45 B: 12,R: 2  B: 2,R: 00h08m E B: 00h44m W
27,E-1232,O-1232,21h 25.582m,78° 38.000m,+78 21h 28m,"113.5, 19.74",µ5 Field 27,415,1954-Sep-30 R: 20:52 B: 20:26,R: 50 B: 13,R: 3-4  B: 2,R: 00h14m W B: 00h12m E
28,E-1210,O-1210,23h 3.256m,78° 46.557m,+78 23h 00m,"117.62, 17.04",µ5 Field 28,484,1954-Sep-20 R: 22:43 B: 23:39,R: 50 B: 13,R: 4  B: 4,R: 00h07m E B: 00h50m W
29,E-1217,O-1217,0h 7.661m,72° 48.420m,+72 0h 00m,"119.66, 10.21",µ6 Field 29,259,1954-Sep-22 R: 23:20 B: 23:01,R: 50 B: 13,R: 2-3  B: 2-3,R: 00h26m E B: 00h45m E
30,E-1218,O-1218,1h 18.717m,72° 45.815m,+72 1h 08m,"124.98, 10",µ6 Field 30,250,1954-Sep-22 R: 00:38 B: 00:18,R: 50 B: 13,R: 2  B: 2,R: 00h18m E B: 00h38m E
