;
Common name,NASA Number,Designator,Country,Launch Date,Site,Decay date/Orbit,Period(min),Perigee,Apogee,Inclination
;
;    Spacecraft launched from Earth
;
ACTS,22796,1993 058B,US,12-Sep-93,AFETR,Earth orbit,1437.8,35709,35929,0.2
AEROS 1 (GRS B),6315,1972 100A,FRG,16-Dec-72,AFWTR,22-Aug-73,95.6,223,867,96.9
AEROS 2,7371,1974 055A,FRG,16-Jul-74,AFWTR,25-Sep-75,95.6,224,869,97.5
AFP-731 (USA 53),20516,1990 019B,US,28-Feb-90,AFETR,Classified
AGENA B [HEAVY FERRET],292,SIGMA 1,US,15-May-62,AFWTR,26-Nov-63,93.0,283,550,82.3
AGENA B [HEAVY FERRET],308,OMEGA 1,US,18-Jun-62,AFWTR,30-Oct-63,91.8,347,377,82.1
AGENA D [HEAVY FERRET],759,1964 011A,US,28-Feb-64,AFWTR,19-Feb-69,94.7,491,516,82.1
ALEXIS,22638,1993 026A,US,25-Apr-93,AFWTR,Classified
ALMAZ 1,21213,1991 024A,USSR,31-Mar-91,TYMSC,17-Oct-92,91.4,337,351,72.7
ALOUETTE 1,424,B ALPHA 1,CANADA,29-Sep-62,AFWTR,Earth orbit,105.2,987,1022,80.5
ALOUETTE 2,1804,1965 098A,CANADA,29-Nov-65,AFWTR,Earth orbit,118.3,499,2707,79.8
AMPTE 1/CCE,15199,1984 088A,US,16-Aug-84,AFETR,Earth orbit,939.5,1121,49671,4.8
AMPTE 2/IRM,15200,1984 088B,FRG,16-Aug-84,AFETR,Earth orbit,2653.4,402,113818,27.0
AMPTE 3/UKS,15201,1984 088C,UK,16-Aug-84,AFETR,Earth orbit,2659.6,1002,113417,26.9
ANIK A1 (TELESAT 1),6278,1972 090A,CANADA,10-Nov-72,AFETR,Earth orbit,1457.1,36145,36247,11.3
ANIK A2 (TELESAT 2),6437,1973 023A,CANADA,20-Apr-73,AFETR,Earth orbit,1443.0,35876,35967,10.2
ANIK A3 (TELESAT 3),7790,1975 038A,CANADA,7-May-75,AFETR,Earth orbit,1439.2,35845,35851,9.0
ANIK B1 (TELESAT 4),11153,1978 116A,CANADA,16-Dec-78,AFETR,Earth orbit,1442.6,35900,35927,6.6
ANIK C1,15642,1985 028B,CANADA,13-Apr-85,AFETR,Earth orbit,1436.2,35783,35792,0.0
ANIK C2 (TELESAT 7),14133,1983 059B,CANADA,18-Jun-83,AFETR,Earth orbit,1436.2,35778,35797,2.0
ANIK C3 (TELESAT 6),13652,1982 110C,CANADA,12-Nov-82,AFETR,Earth orbit,1436.1,35779,35794,2.1
ANIK D1 (TELESAT 5),13431,1982 082A,CANADA,26-Aug-82,AFETR,Earth orbit,1438.3,35811,35847,2.3
ANIK D2,15383,1984 113B,CANADA,9-Nov-84,AFETR,Earth orbit,1436.0,35589,35978,0.6
ANIK E1,21726,1991 067A,CANADA,26-Sep-91,FRGUI,Earth orbit,1436.1,35777,35797,0.0
ANIK E2,21222,1991 026A,CANADA,4-Apr-91,FRGUI,Earth orbit,1436.1,35776,35798,0.1
ANNA 1B,446,B MU 1,US,31-Oct-62,AFETR,Earth orbit,107.9,1075,1181,50.1
ANS 1,7427,1974 070A,NETH,30-Aug-74,AFWTR,14-Jun-77,99.1,258,1173,98.0
APOLLO  2,2289,1966 059A,US,5-Jul-66,AFETR,5-Jul-66,88.5,183,212,31.9
APOLLO  4,3032,1967 113A,US,9-Nov-67,AFETR,9-Nov-67,91.9,370,371,32.7
APOLLO  5 LM (ASCENT),3106,1968 007A,US,22-Jan-68,AFETR,24-Jan-68,89.5,163,322,31.6
APOLLO  5 LM (DESCENT),3107,1968 007B,US,22-Jan-68,AFETR,12-Feb-68,89.9,169,374,31.6
APOLLO  6,3170,1968 025A,US,4-Apr-68,AFETR,4-Apr-68,88.2,183,184,32.5
APOLLO  7,3486,1968 089A,US,11-Oct-68,AFETR,22-Oct-68,89.9,229,306,31.6
APOLLO  8,3626,1968 118A,US,21-Dec-68,AFETR,27-Dec-68
APOLLO  9,3769,1969 018A,US,3-Mar-69,AFETR,13-Mar-69,88.6,203,229,32.6
APOLLO  9 LM (ASCENT),3771,1969 018C,US,3-Mar-69,AFETR,23-Oct-81,164.7,227,6935,28.9
APOLLO  9 LM (DESCENT),3780,1969 018D,US,3-Mar-69,AFETR,22-Mar-69,89.6,249,259,33.6
APOLLO 10,3941,1969 043A,US,18-May-69,AFETR,26-May-69
APOLLO 10 LM (ASCENT),3949,1969 043D,US,18-May-69,AFETR,Solar orbit
APOLLO 10 LM (DESCENT),3948,1969 043C,US,18-May-69,AFETR,Lunar orbit
APOLLO 11,4039,1969 059A,US,16-Jul-69,AFETR,24-Jul-69
APOLLO 11 LUNAR MODULE,4041,1969 059C,US,16-Jul-69,AFETR,Lunar orbit
APOLLO 12,4225,1969 099A,US,14-Nov-69,AFETR,24-Nov-69
APOLLO 12 LUNAR MODULE,4246,1969 099C,US,14-Nov-69,AFETR,20-Nov-69
APOLLO 13,4371,1970 029A,US,11-Apr-70,AFETR,17-Apr-70
APOLLO 14,4900,1971 008A,US,31-Jan-71,AFETR,9-Feb-71
APOLLO 14 LUNAR MODULE,4905,1971 008C,US,31-Jan-71,AFETR,7-Feb-71
APOLLO 15,5351,1971 063A,US,26-Jul-71,AFETR,7-Aug-71
APOLLO 15 LUNAR MODULE,5366,1971 063C,US,26-Jul-71,AFETR,3-Aug-71
APOLLO 15 SUBSATELLITE,5377,1971 063D,US,26-Jul-71,AFETR,Lunar orbit
APOLLO 16,6000,1972 031A,US,16-Apr-72,AFETR,27-Apr-72
APOLLO 16 LUNAR MODULE,6005,1972 031C,US,16-Apr-72,AFETR,Lunar orbit
APOLLO 16 SUBSATELLITE,6009,1972 031D,US,16-Apr-72,AFETR,29-May-72
APOLLO 17,6300,1972 096A,US,7-Dec-72,AFETR,19-Dec-72
APOLLO 17 LUNAR MODULE,6307,1972 096C,US,7-Dec-72,AFETR,15-Dec-72
APOLLO 18 (ASTP),8032,1975 066A,US,15-Jul-75,AFETR,24-Jul-75,87.6,152,166,51.7
APPLE,12545,1981 057B,INDIA,19-Jun-81,FRGUI,Earth orbit,1439.3,35752,35945,10.0
AQUACADE (MAGNUM),15543,1985 010B,US,24-Jan-85,AFETR,Classified
ARABSAT 1A,15560,1985 015A,SAUDI,8-Feb-85,FRGUI,Earth orbit,1434.1,35722,35774,2.5
ARABSAT 1B,15825,1985 048C,SAUDI,18-Jun-85,AFETR,Earth orbit,1433.8,35737,35746,1.9
ARABSAT 1C,21894,1992 010B,SAUDI,26-Feb-92,FRGUI,Earth orbit,1436.1,35759,35814,0.0
ARASENE,22654,1993 031B,FRANCE,12-May-93,FRGUI,Earth orbit,1012.8,17222,36834,1.4
ARIEL 1 (UK 1),285,OMICRON 1,UK,26-Apr-62,AFETR,24-May-76,100.8,398,1203,53.8
ARIEL 2 (UK 2),771,1964 015A,UK,27-Mar-64,AFETR,18-Nov-67,101.3,287,1349,51.7
